,0,1
19,"['boozy', 'mango', 'peach', 'me', 'canadadry']","['O', 'B-FLA', 'I-FLA', 'O', 'O']"
20,"['wildcherry', 'w/diet', 'blackberry', 'cnd', 'mug', 'root', 'beer', 'clove', 'leaf', 'caffenie']","['O', 'O', 'B-FLA', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
21,"['upgrade', 'pinea', 'barrelhead', 'root', 'beer', 'crape', 'bvc-mountain']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'O']"
22,"['almond', 'cream', '-paper', 'splenda', 'berry', 'goji', '33.8oz', 'ks']","['B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
23,"['$2.75', 'masking', 'sweet', 'cola-cola']","['O', 'B-FLA', 'I-FLA', 'O']"
24,"['sunkist', 'kumquat', 'xl', 'chico15.5', 'doctor']","['B-BRA', 'B-FLA', 'O', 'O', 'O']"
25,"['orangeseltzer', 'delaware', 'punch', 'mary', 'cherry', 'pomegranate']","['O', 'B-BRA', 'I-BRA', 'O', 'B-FLA', 'I-FLA']"
26,"['pe', 'go', 'rise-pomegrante', 'dominion']","['O', 'O', 'O', 'O']"
27,"['cranb', 'schweppes', 'capt.']","['O', 'B-BRA', 'O']"
28,"['e', 'dew/realsugar', 'kinnie', 'limon', 'devils', 'tc-soda', '2.79']","['O', 'O', 'B-BRA', 'O', 'O', 'O', 'O']"
29,"['water/soda/snapple', 'int', 'calamansi', '(tangerine-kumquat)']","['O', 'O', 'B-FLA', 'I-FLA']"
30,"['12p', 'sidral', 'mundet', 'mhp']","['O', 'B-BRA', 'I-BRA', 'O']"
31,"['#whatthefanta', 'popcorn', '0zs']","['O', 'B-FLA', 'O']"
32,"['tropcmb', 'oz/24', 'aquarius', 'graham', 'marshmallow', 'lg', 'imp-canada', 'reg1']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
33,"['rose', 'hip', 'bottle1', 'ameyal', 'taro', 'caf', 'br']","['B-FLA', 'I-FLA', 'O', 'B-BRA', 'B-FLA', 'O', 'O']"
34,"['pineabpple', 'sierra', 'mist', 'caffeeine', 'shasta', 'green', 'apple', 'livewi', 'rye']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
35,"['coconut', 'toasted', 'crocker', 'sparkiling']","['B-FLA', 'I-FLA', 'O', 'O']"
36,"['zesty', '40', 'dasani/soda', 'mamay', 'dew.']","['O', 'O', 'O', 'B-FLA', 'O']"
37,"['venom', 'energy', 'vernors', '4.0']","['B-BRA', 'I-BRA', 'B-BRA', 'O']"
38,"['34-', 'brands', 'guavai', 'le', 'paksprite']","['O', 'O', 'O', 'O', 'O']"
39,"['sodastream', 'goji', 'raspberry', 'boylan', 'sun', 'drop']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA']"
40,"['editi', 'pepsi', 'papaya', '2-z']","['O', 'B-BRA', 'B-FLA', 'O']"
41,"['whiteout', 'gingerbeer', 'bw-beer-bottle', 'tropical', 'punch', 'na', 'wmelon']","['O', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
42,"['editions', 'bvc-grape', 'orangina', 'rose', 'hip', 'each', 'soda.', 'voo']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
43,"['-18oz', ""virgil's"", '4lbs', 'caffeeine']","['O', 'O', 'O', 'O']"
44,"['caffein', 'fanta', '10oz', 'kinnie']","['O', 'B-BRA', 'O', 'B-BRA']"
45,"['soda-', 'mug', 'root', 'beer', 'breakfast', 'lucozade', 'pepsi*']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'B-BRA', 'O']"
46,"['6o', 'caramel', 'boyland', 'barr']","['O', 'B-FLA', 'O', 'B-BRA']"
47,"['x', 'dill', 'col', 'kok', 'sun', 'drop', 'butter', 'caramel', 'gefen', 'whit']","['O', 'B-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
48,"['slh', 'jones', 'soda', ""reed's"", 'twist/sierra', ""peet's"", 'ski']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'O', 'O']"
49,"['bottle/can', 'orangina', 'bottl', 'dream20oz']","['O', 'B-BRA', 'O', 'O']"
50,"['mini-can', 'powerade', 'punch', 'island', 'beer*', 'caramel', 'vanilla', '86th']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
51,"['a&w', 'root', 'beer', 'apple', 'caramel', 'spite', 'ale/lemonade', 'mtndew']","['B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
52,"['caribbean', 'jerked', 'bja', 'mirinda', 'virgil']","['B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
53,"['pineap', 'dublin', 'a&w', 'cream', 'soda', 'tamarind', 'tamerind', '-caffeine']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'O', 'O']"
54,"['barr', 'pocari', 'sweat', 'honey', 'cinnamon']","['B-BRA', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA']"
55,"['shirley', '-sundrop', 'reeds', 'cherry', 'pie', 'raz', 'n']","['O', 'O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
56,"['sunkist/', 'voodewdew', 'barr', 'tomato', 'basil', 'xl', 'fountainchips', 'bunch']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
57,"['tomomasu', 'squirt', 'honeydew', 'coke16oz']","['O', 'B-BRA', 'B-FLA', 'O']"
58,"['ging', 'cookie', 'various', 'canteen']","['O', 'B-FLA', 'I-FLA', 'O']"
59,"['g&g', '7', 'up', 'flower', 'various', 'seltzers']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
60,"['12/16', '20oz*', 'celsius', 'zer0']","['O', 'O', 'O', 'O']"
61,"['peace', 'rose', 'hip', 'export']","['O', 'B-FLA', 'I-FLA', 'O']"
62,"['wire1', 'sprite4', 'mint', 'creamy', 'gourmet', 'dreamland']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
63,"['den', 'aquarius', 'white', 'cake', 'true', 'misttwist']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
64,"['venom', 'energy', 'pumpkin', 'mangolime', 'aquarius', 'waffle', 'cone', 'seltzer-root']","['B-BRA', 'I-BRA', 'B-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
65,"['cokecoffeevanilla', 'barr', 'lp']","['O', 'B-BRA', 'O']"
66,"['ru', 'sh', 'chocolate', 'malt', 'pep', 'rootbeer1', 'green', 'tea', 'pl']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
67,"['dreamsicle', 'berry', 'wild']","['O', 'B-FLA', 'I-FLA']"
68,"['2-$300', 'lift', 'mountaindew']","['O', 'B-BRA', 'O']"
69,"['wink', 'nws', 'mountain', 'dew', 'backbone', 'frostbite']","['B-BRA', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
70,"['coke-can', 'delaware', 'punch', 'peanut', 'butter', 'berry', 'blue', '6pack']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'B-FLA', 'I-FLA', 'O']"
71,"['lays', 'canada', 'dry', 'wb', 'ale-8-one', 'vanilla', 'bean', 'gamefue']","['O', 'B-BRA', 'I-BRA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
72,"['99-ond', 'delaware', 'punch', 'spring', 'mint', 'boylans', 'olipop', 'beat']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA']"
73,"['c-store', 'pepsi:diet']","['O', 'O']"
74,"['lilawine', 'upgrade', ""canfield's"", 'diet', 'chocolate', 'fudge', '1/24', 'menthol', '0.75']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'I-BRA', 'O', 'B-FLA', 'O']"
75,"['cokecinnamon', 'throwb', 'dto']","['O', 'O', 'O']"
76,"['segrams', 'ibc', 'root', 'beer', 'off', 'pepsi', 'mocha', 'schueppes']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'B-BRA', 'B-FLA', 'O']"
77,"['berryl', 'mojito', 'cucumber', 'rt-pibb', 'margarita']","['O', 'B-FLA', 'I-FLA', 'O', 'O']"
78,"['hone', 'regula', 'dr', 'pepper', 'fl.oz.', 'jalap', 'energy1', 'springdale']","['O', 'O', 'B-BRA', 'I-BRA', 'O', 'O', 'O', 'O']"
79,"['panda', 'lemonade', 'pink', 'cannette', 'pmgnt/blue']","['O', 'B-FLA', 'I-FLA', 'O', 'O']"
80,"['watter', 'sodastream', 'pepsi/lays']","['O', 'B-BRA', 'O']"
81,"['org/van', 'pie', 'pumpkin']","['O', 'B-FLA', 'I-FLA']"
82,"['orangina', 'brands', 'squirt', 'rose', 'hip', '20fl', 'rb']","['B-BRA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
83,"['16oz3', '$2.25', 'ltr', 'barr', 'currant', 'black', 'streussel', 'mos']","['O', 'O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
84,"['irn-bru', 'hibiscus', 'various', '+++', 'sierra', 'mist', 'peps', 'ori']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
85,"['pepsi:diet', 'oronamin', 'c', 'drink', 'pepsi/chips', 'fanta', 'violet', 'dr.']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'B-BRA', 'B-FLA', 'O']"
86,"['beverages', 'delaware', 'punch', 'peach', 'white', 'flaming']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
87,"['coco', 'berry', 'mint', 'bring']","['O', 'B-FLA', 'I-FLA', 'O']"
88,"['ale8', 'throw']","['O', 'O']"
89,"['lychee', 'fresa', 'thrshd']","['B-FLA', 'O', 'O']"
90,"['amp', 'energy', 'lime', 'cucumber', 'frostie', 'orangina']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA']"
91,"['livewiret', 'cola-coke', 'water/soda/snapple', 'julebrus', 'malt', 'various']","['O', 'B-BRA', 'O', 'B-BRA', 'B-FLA', 'I-FLA']"
92,"['celsius', 'barrelhead', 'root', 'beer', 'prickly', 'pear', 'tax', 'ray', 'sangria', 'señorial', 'sub']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'O']"
93,"['42oz', 'cilantro', 'caramelized', 'strawberr']","['O', 'B-FLA', 'B-FLA', 'O']"
94,"['2nd', 'hazelnut', 'sunkist-', 'sosyo', 'grapefruit', 'pineapple']","['O', 'B-FLA', 'O', 'B-BRA', 'B-FLA', 'I-FLA']"
95,"['w/coffee', 'apple', 'caramel', 'drink16', '7', 'up', 'zsnapple']","['O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'O']"
96,"['chocolate', 'almond', 'cap', 'risestarwberry']","['B-FLA', 'I-FLA', 'O', 'O']"
97,"['royal', 'rc', 'cola', 'crème']","['O', 'B-BRA', 'I-BRA', 'O']"
98,"['seltze', 'romano', 'cheese', 'sr', 'strawberry/lemonade', 'floats', 'apple', 'cider']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'B-FLA', 'I-FLA']"
99,"['mandarina', 'j&o2', 'mini-', 'sierra', 'mist', '6/7.5oz']","['O', 'O', 'O', 'B-BRA', 'I-BRA', 'O']"
100,"['rockstar', 'energy', ""barq's"", 'hal&#39;s', 'betta']","['B-BRA', 'I-BRA', 'B-BRA', 'O', 'O']"
101,"['bev-', 'berry', 'mixed', '81', 'aquarius', 'dew12oz', 'house']","['O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O', 'O']"
102,"['export', 'qoo', 'black', 'pepper', 'kiosk', 'rambutan', 'type', 'drpep']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
103,"['liberty', 'moxie', 'chocolate', 'strawberry', 'strawb', 'oz1', '50/50', '6o']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'O']"
104,"['bridor', 'dite', 'sangria', 'señorial', 'honey', 'bvc-bottle', 'chocolate', 'mint', 'manderin']","['O', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'O', 'B-FLA', 'I-FLA', 'O']"
105,"['1.25pt', 'wink', '16.9oz.', 'romaine']","['O', 'B-BRA', 'O', 'O']"
106,"['coco', 'prbiotic', 'limeade', 'wink']","['O', 'O', 'O', 'B-BRA']"
107,"['delaware', 'punch', 'mint', 'spring', 'brand', 'cinnamon', 'aguas']","['B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'O']"
108,"['voo', 'dray', 'cinnamon', 'pie', '16o', 'dirt']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
109,"['wildberries', 'amp', 'energy', 'ohana', 'lester', 'oronamin', 'c', 'drink', 'ale8']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O']"
110,"['stein', 'straw/lemon', 'wink', 'tamarindo']","['O', 'O', 'B-BRA', 'O']"
111,"['monster', 'energy', 'mr.', 'pibb', 'honey', 'life', 'pin']","['B-BRA', 'I-BRA', 'B-BRA', 'I-BRA', 'B-FLA', 'O', 'O']"
112,"['montster', 'dr', 'pepper', 'pineapple', 'roasted', 'org']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
113,"['dr', ""brown's"", 'praline', 'fever-tree', 'spa', 'fanta', 'winehart']","['B-BRA', 'I-BRA', 'B-FLA', 'O', 'O', 'B-BRA', 'O']"
114,"['0', 'monster', 'energy', 'apple', 'caramel', 'cucumber', 'ny']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'B-FLA', 'O']"
115,"['lemonaide', 'party']","['O', 'O']"
116,"['bevpmo', 'dietcoke', 'apple', 'caramel', 'vailla', 'edition-', 'gatorade', 'grande', 'cit']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'O', 'O']"
117,"['molasses', '14oz']","['B-FLA', 'O']"
118,"['fsk', 'lavender']","['O', 'B-FLA']"
119,"[""chili's"", 'ital', 'delaware', 'punch', 'giger']","['O', 'O', 'B-BRA', 'I-BRA', 'O']"
120,"['coke-can', 'size', 'wink', 'tea', 'black', 'nirvana']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
121,"['gingersnap', '200', 'coconut', 'ks', 'almond', 'cream', 'virgils', 'pitchblack']","['O', 'O', 'B-FLA', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
122,"['spritezeroginger', 'frescolita', 'chocolate', 'toffee', '67.', 'coke', 'rasp']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
123,"['mousse', 'various', 'vailla']","['B-FLA', 'I-FLA', 'O']"
124,"['iced', '17.7', 'acai', 'cherry', 'p']","['O', 'O', 'B-FLA', 'I-FLA', 'O']"
125,"['bcc-', 'rt-012000204951', 'mr.', 'pibb', 'one', 'jones', 'soda', 'french', 'vanilla', 'pepsi*']","['O', 'O', 'B-BRA', 'I-BRA', 'O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
126,"['kickstart', 'tab', 'pomegranate', 'acai', 'chips', 'ameyal', 'creat']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
127,"['barr', 'citrus', 'punch', 'tall', 'sprite', 'chico']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'O']"
128,"['25', 'rose', 'hip', 'pepsi1', 'bev-soda', 'blackberry']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA']"
129,"['20.3oz', 'cola-coke', 'pear', 'mint', 'grap']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
130,"['white', 'cake', 'dasani', 'chocolate', 'cl', 'pepsivanilla20oz']","['B-FLA', 'I-FLA', 'B-BRA', 'B-FLA', 'O', 'O']"
131,"['13.65', 'jaritos', 'coconut', 'cream', '2ltr.', 'sco', 'inca', 'kola', 'aunty', 'trop.']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
132,"['tropical', 'blends', 'sletzer', 'cosmic']","['B-FLA', 'I-FLA', 'O', 'O']"
133,"['imported', 'xxx', 'pecan', 'butter', 'delaware', 'punch']","['O', 'O', 'B-FLA', 'I-FLA', 'B-BRA', 'I-BRA']"
134,"['6p', 'raspberry']","['O', 'B-FLA']"
135,"['c1', 'coke.', 'chocolate', 'white', 'slope', 'mug', 'root', 'beer', '$3.50']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O']"
136,"['twist.', 'kickstar', 'chocolate', 'fudge', 'mocktail', 'lipton', 'dragonfruit']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
137,"['chps', 'pepsiwildcherryzero', 'sprite', 'sauteed', 'butter']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA']"
138,"['6pk', 'toffee', 'english', 'vanill']","['O', 'B-FLA', 'I-FLA', 'O']"
139,"['sugar', 'cookie', 'dr.brown']","['B-FLA', 'I-FLA', 'B-BRA']"
140,"['coka-cola', 'ginberale', 'noni', 'berry', 'cn', 'cajun', 'burst', 'specialty']","['O', 'O', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'O', 'O']"
141,"['oz3', '6.75oz', 'dr.brown', '-uptime']","['O', 'O', 'B-BRA', 'O']"
142,"['24pk', 'oronamin', 'c', 'drink', 'caramelized', 'butter', 'sal', 'cut', 'celsius', 'pop-in']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O', 'O']"
143,"['skittles', 'gingerbread', 'inca', 'kola', 'lime12']","['O', 'B-FLA', 'B-BRA', 'I-BRA', 'O']"
144,"['lemon-l', 'nutty', 'caramel']","['O', 'B-FLA', 'I-FLA']"
145,"['be', 'hawaiian', 'punch', 'apple', 'pie', 'suar', ""n'cr"", 'a&w', 'root', 'beer']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'I-BRA']"
146,"['0z.', 'tizer', 'caramel', 'julmust', 'caramel', 'nutty']","['O', 'B-BRA', 'B-FLA', 'B-BRA', 'B-FLA', 'I-FLA']"
147,"['frescolita', 'buttery', 'graham', 'corn', 'kettle', 'motg']","['B-BRA', 'B-FLA', 'I-FLA', 'B-FLA', 'I-FLA', 'O']"
148,"['schueppes', 'cherry', 'pomegranate', '8o', '1893', 'rockstar', 'energy', 'buttermilk']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'B-FLA']"
149,"['winehart', 'pomegranite', 'berry', 'goji', 'zgatorade']","['O', 'O', 'B-FLA', 'I-FLA', 'O']"
150,"['ale81', 'surge', 'comb', 'sparkli', 'powerade', 'soda/juice']","['O', 'B-BRA', 'O', 'O', 'B-BRA', 'O']"
151,"['triple', 'chico15.5', 'kinnie', 'horchata', 'suar', 'x2']","['O', 'O', 'B-BRA', 'B-FLA', 'O', 'O']"
152,"['classics', 'ale-8-one', 'founatin', 'freeze', 'tangerine', 'mango', 'natures']","['O', 'B-BRA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
153,"['drp', 'venom', 'energy', 'drink-pos', 'giger', 'hawaiian', 'punch', 'cocacola']","['O', 'B-BRA', 'I-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'O']"
154,['lift'],['B-BRA']
155,"['product', 'jarritos', 'graham', 'doc', '–']","['O', 'B-BRA', 'B-FLA', 'O', 'O']"
156,"['bundaberg', 'tab', 'agave']","['O', 'B-BRA', 'B-FLA']"
157,"['cnd', 'coca-cola', 'monster', 'energy', '600']","['O', 'B-BRA', 'B-BRA', 'I-BRA', 'O']"
158,"['cb', 'heineken', 'mirinda', 'pink', 'rose', 'flav', 'pop1']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
159,"['black', 'currant', '1lt', 'cokecherryvanilla', 'hires', 'root', 'beer', 'toronja']","['B-FLA', 'I-FLA', 'O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O']"
160,"['4lbs', 'spr', 'pineapple', 'mango']","['O', 'O', 'B-FLA', 'I-FLA']"
161,"['db', 'kiwi', 'suger']","['O', 'B-FLA', 'O']"
162,"['tripple', 'nitro', 'berry', 'goji', 'sprite', 'cosmetic']","['O', 'O', 'B-FLA', 'I-FLA', 'B-BRA', 'O']"
163,"['w', 'moxie', 'lay', 'frt', 'guacamole', ""seafram's""]","['O', 'B-BRA', 'O', 'O', 'B-FLA', 'O']"
164,"['20oz2', 'coladreamworld', 'ale-8-one', 'honey', 'cinnamon']","['O', 'O', 'B-BRA', 'B-FLA', 'I-FLA']"
165,"['bbq', 'sangria', 'señorial', 'chamomile', 'mello', 'yello', 'toasted', 'coconut', 'pep']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'B-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O']"
166,"['ice', 'picante', 'hires', 'root', 'beer', 'fantastix', 'hal???s', 'mountain', 'dew', 'bbc-']","['O', 'O', 'B-BRA', 'I-BRA', 'I-BRA', 'O', 'O', 'B-BRA', 'I-BRA', 'O']"
167,"['soda:', 'pomegranate', 'cherry', 'neli', 'berry', 'kiwi', 'bla', 'seagram`s']","['O', 'B-FLA', 'I-FLA', 'O', 'B-FLA', 'I-FLA', 'O', 'O']"
168,"['mountain', 'dew', 'medium', 'pep', 'tequila', 'lime']","['B-BRA', 'I-BRA', 'O', 'O', 'B-FLA', 'I-FLA']"
169,"['cola-pepsi', 'graham', 'marshmallow', 'zevia', 'energey', 'pineapple', 'orange', 'wire']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'B-FLA', 'I-FLA', 'O']"
170,"['medium', 'noni', 'berry', '2lt', 'pinea', 'artois']","['O', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
171,"['6p', 'reg', 'jarritos', 'rb']","['O', 'O', 'B-BRA', 'O']"
172,"['k&c', '20oz1.', '7', 'up', 'bcv', 'dew/', 'grapediet']","['O', 'O', 'B-BRA', 'I-BRA', 'O', 'O', 'O']"
173,"['mdr', 'fever-free', 'dr', ""brown's"", 'panch', '6-pack']","['O', 'O', 'B-BRA', 'I-BRA', 'O', 'O']"
174,"['20z', 'cherikee', 'wire1', 'twisted']","['O', 'O', 'O', 'O']"
175,"['floats', '34-']","['B-BRA', 'O']"
176,"['moxie', '1.69', ""barq's"", 'vanilla', '(various)', 'sprite12oz']","['B-BRA', 'O', 'B-BRA', 'B-FLA', 'I-FLA', 'O']"
177,"['soda.', '6p', 'kinnie', '2liter', 'key', 'lime']","['O', 'O', 'B-BRA', 'O', 'B-FLA', 'I-FLA']"
178,"['sprite', 'creme', 'brulee', '500ml/med', '2-liter', '14.2oz']","['B-BRA', 'B-FLA', 'I-FLA', 'O', 'O', 'O']"
179,"['w/coffee', '/regula', 'cali']","['O', 'O', 'O']"
180,"['sdr', 'hires', 'root', 'beer', 'melon', 'various', 'bev-soda', 'gold']","['O', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'I-FLA', 'O', 'O']"
181,"['seltzer', 'caramel', 'apple', 'delaware', 'punch']","['O', 'B-FLA', 'I-FLA', 'B-BRA', 'I-BRA']"
182,"['sunkiss', 'gatorade', 'vanilla', 'bean', 'nehi', 'raspberry', 'goji']","['O', 'B-BRA', 'B-FLA', 'I-FLA', 'B-BRA', 'B-FLA', 'I-FLA']"
183,"[""'n"", 'tropicana', 'nehi', 'sun', 'drop']","['O', 'O', 'B-BRA', 'B-BRA', 'I-BRA']"
184,"['spare', 'lem', 'inca', 'kola', 'nehi', 'seasonal', 'houston']","['O', 'O', 'B-BRA', 'I-BRA', 'B-BRA', 'O', 'O']"
185,"['0.5lt', 'dr', 'pepper', 'date', 'a&w', 'root', 'beer', 'mango', 'zbottle']","['O', 'B-BRA', 'I-BRA', 'B-FLA', 'B-BRA', 'I-BRA', 'I-BRA', 'B-FLA', 'O']"
186,"['sierra', 'mist', 'smooth']","['B-BRA', 'I-BRA', 'O']"
